TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100261900	NIPPON FINE CHEMICAL CO.,LTD	Y	4	02619	JP	Oleo Chemical	CAN	16	KG	Macadamia Nut Oil Fatty Acid Phytosteryl
	ME12	C000002	91100263300	THE NISSHIN OILLIO GROUP, LTD 	Y	4	02633	TW	Wax & Oils	DRUM	170	KG	ETHYLHEXYL PALMITATE
	ME12	C000002	91100335900	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	03359	JP	Surfactant	DRUM	200	KG	PEG-8 glyceryl isostearate
	ME12	C000002	91100411300	NIPPON AEROSIL CO., LTD	Y	4	04113	JP	Powders	BAG	10	KG	Silicon dioxide
	ME12	C000002	91100425100	KINSEI MATEC CO., LTD.	Y	4	04251	JP	Powders	BAG	20	KG	Mica, hydrous aluminum silicate potassium
	ME12	C000002	91100492300	MATSUMOTO YUSHI-SEIYAKU CO., LTD.	Y	4	04923	JP	Polymers	BOX	2	KG	Cellulose
	ME12	C000002	91100613400	MARUZEN PHARMACEUTICALS CO., LTD.	Y	4	06134	JP	Actives	BOTTLE	500	G	STEARYL GLYCYRRHETINATE
	ME12	C000002	91100623400	NIPPON SURFACTANT INDUSTRIES CO., LTD	Y	4	06234	JP	Surfactant	CAN	1	KG	Cetyl Phosphate
	ME12	C000002	91100629600	GATTEFOSSE S.A.	Y	4	06296	FR	Actives	CAN	5	KG	BUTYLENE GLYCOL / WATER / LILIUM CANDIDUM BULB EXTRACT
	ME12	C000002	91100641900	SYMRISE AG	Y	4	06419	DE	Surfactant	CAN	18	KG	Menthyl Lactate
	ME12	C000002	91100653700	SANGI CO.,LTD.	Y	4	06537	JP	Actives	CAN	10	KG	Tricalcium phosphate
	ME12	C000002	91100725500	SENSIENT COSMETIC TECHNOLOGIES	Y	4	07255	FR	Coloring Agents	BUCKET	1	KG	YELLOW 5
	ME12	C000002	91122A61500	Takasago International Corporation	Y	4	2A615	JP	Fragrance	CAN	15	KG	FRAGRANCE
